format,input_dtype,output_dtype,mode,round,distribution,max_abs,mae,mse,payload_ratio,file_ratio
2,0,1,1,1,outliers,85.5422210693,1.60367686214,19.4482585715,7.99867816265,7.97424764186
2,0,2,0,0,uniform,0.166644454002,0.0442545773168,0.00346173020426,7.07082724738,7.05187617509
2,0,2,0,0,normal,0.538235902786,0.0708481355877,0.00892507263189,7.07082724738,7.05187617509
2,0,2,0,0,outliers,9.55883789062,0.175953140467,0.17784379894,7.07082724738,7.05187617509
2,0,2,0,1,uniform,0.327623069286,0.0588779841738,0.00695340525465,7.07082724738,7.05187617509
2,0,2,0,1,normal,1.15121793747,0.0950289316478,0.0188050654276,7.07082724738,7.05187617509
2,0,2,0,1,outliers,38.4847793579,0.262381164329,0.832986137846,7.07082724738,7.05187617509
2,0,2,1,0,uniform,0.166644454002,0.0485571536607,0.00404524628279,7.99867816265,7.97424764186
2,0,2,1,0,normal,0.699773788452,0.101709312974,0.0152964518916,7.99867816265,7.97424764186
2,0,2,1,0,outliers,45.6472320557,0.870683721616,2.08392462097,7.99867816265,7.97424764186
2,0,2,1,1,uniform,0.329274773598,0.0644875050384,0.00800438840431,7.99867816265,7.97424764186
2,0,2,1,1,normal,1.38581347466,0.135918830277,0.030968902326,7.99867816265,7.97424764186
2,0,2,1,1,outliers,85.7922210693,1.60601021244,19.5481140936,7.99867816265,7.97424764186
2,1,0,0,0,uniform,0.16650390625,0.0442016952641,0.00345046057578,3.53541362369,3.52657363027
2,1,0,0,0,normal,0.5390625,0.0708364739482,0.00892120811893,3.53541362369,3.52657363027
2,1,0,0,0,outliers,9.5714263916,0.175777537437,0.176302510949,3.53541362369,3.52657363027
2,1,0,0,1,uniform,0.327962219715,0.0588401670699,0.0069434383448,3.53541362369,3.52657363027
2,1,0,0,1,normal,1.15299487114,0.0950190396095,0.0188060694716,3.53541362369,3.52657363027
2,1,0,0,1,outliers,38.7678604126,0.262189461993,0.831299718371,3.53541362369,3.52657363027
2,1,0,1,0,uniform,0.16650390625,0.0486894504338,0.00407515853416,3.99933908132,3.98784249139
